날짜,가격
2022년 02월 19일,"1,199,000"
2022년 02월 27일,"1,199,000"
2022년 03월 13일,"1,082,810"
2022년 03월 17일,"1,057,300"
2022년 03월 20일,"1,082,810"
2022년 03월 26일,"1,151,040"
2022년 04월 04일,"1,151,040"
2022년 04월 06일,"1,151,040"
2022년 04월 19일,"993,520"
2022년 04월 21일,"993,520"
2022년 04월 23일,"993,520"
2022년 04월 26일,"993,520"
2022년 04월 28일,"993,440"
2022년 04월 30일,"968,010"
2022년 07월 11일,"946,850"
2022년 07월 14일,"959,200"
2022년 07월 17일,"959,200"
2022년 07월 22일,"959,200"
2022년 07월 26일,"959,200"
2022년 07월 27일,"959,200"
2022년 07월 29일,"980,850"
2022년 08월 02일,"1,019,150"
2022년 08월 05일,"1,019,150"
2022년 08월 09일,"1,015,600"
2022년 08월 11일,"1,019,150"
2022년 09월 15일,"1,019,150"
2022년 09월 16일,"995,170"
2022년 09월 21일,"995,170"
2022년 09월 23일,"1,017,050"
2022년 09월 26일,"1,019,150"
2022년 10월 07일,"1,007,160"
2022년 10월 14일,"1,002,300"
2022년 10월 17일,"1,002,300"
2022년 10월 23일,"1,002,300"
2022년 10월 25일,"1,001,170"
2022년 10월 31일,"1,002,300"
2022년 11월 01일,"1,001,000"
2022년 11월 14일,"947,210"
2022년 11월 18일,"983,180"
2022년 11월 21일,"995,170"
2022년 11월 23일,"983,180"
2022년 12월 01일,"959,200"
2022년 12월 08일,"1,001,000"
2022년 12월 12일,"926,350"
2022년 12월 19일,"971,190"
2022년 12월 20일,"926,350"
2022년 12월 27일,"926,350"
2022년 12월 30일,"923,230"
2023년 01월 02일,"983,480"
2023년 01월 21일,"983,480"
2023년 01월 24일,"983,480"
2023년 01월 29일,"1,004,860"
2023년 05월 29일,"1,004,860"
2023년 05월 30일,"959,200"
2023년 05월 31일,"959,200"
