날짜,가격
2023년 02월 16일,"1,487,450"
2023년 02월 24일,"1,407,470"
2023년 03월 07일,"1,375,330"
2023년 03월 11일,"1,391,470"
2023년 03월 15일,"1,349,000"
2023년 04월 14일,"1,372,050"
2023년 04월 15일,"1,371,930"
2023년 04월 17일,"1,371,670"
2023년 04월 18일,"1,371,620"
2023년 04월 19일,"1,375,480"
2023년 04월 22일,"1,375,330"
2023년 05월 01일,"1,347,970"
2023년 05월 06일,"1,359,490"
2023년 05월 12일,"1,349,000"
2023년 05월 15일,"1,349,000"
2023년 05월 16일,"1,349,000"
2023년 05월 20일,"1,349,000"
2023년 05월 24일,"1,359,490"
2023년 05월 25일,"1,359,490"
2023년 05월 26일,"1,359,490"
2023년 05월 27일,"1,359,490"
2023년 05월 28일,"1,359,490"
2023년 05월 29일,"1,359,490"
2023년 05월 30일,"1,409,440"
2023년 05월 31일,"1,359,490"
