Brands,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4
Samsung,65,68,71,57,64,67,72,58,67,71,85,67,77,77,84,63
Apple,18,14,11,28,18,19,13,31,22,17,12,32,22,21,13,34
LG,16,17,16,14,16,13,14,10,10,11,2,0,0,0,0,0
others,1,1,2,1,2,1,1,1,1,1,1,1,1,2,3,3
